"SK_SNAPSHOT_DATE","REGION_KEY","MAKE_MODEL_DESCRIPTION","VARIANT","DERIVATIVE","FUEL_TYPE","TRANSMISSION_TYPE","BODY_TYPE","NUMBER_OF_DOORS","ENGINE_CC_SIZE","VEHICLE_SECTOR","YEAR_OF_REGISTRATION","MILEAGE","VEHICLE_PRICE"
"20100101","SC","SKODA FABIA","HATCHBACK (2007 - 2010)","1.2 HTP 12v 2 5dr","Petrol","Manual","Hatchback","5","1198","Supermini Cars","2009","9178","8599"
"20100101","SC","SKODA FABIA","HATCHBACK (2007 - 2010)","1.2 HTP 12v 2 5dr","Petrol","Manual","Hatchback","5","1198","Supermini Cars","2009","10637","8499"
"20100101","SC","SKODA FABIA","HATCHBACK (2007 - 2010)","1.2 HTP 12v 2 5dr","Petrol","Manual","Hatchback","5","1198","Supermini Cars","2009","5889","8699"
"20100101","SC","SKODA FABIA","HATCHBACK (2007 - 2010)","1.2 HTP 12v 2 5dr","Petrol","Manual","Hatchback","5","1198","Supermini Cars","2008","14987","6983"
"20100101","SC","SKODA FELICIA","HATCHBACK (1995 - 1996)","1.3 LXi 5dr","Petrol","Manual","Hatchback","5","1289","Lower Medium Cars","1999","65000","598"
"20100101","SC","SKODA OCTAVIA","HATCHBACK (2004 - 2010)","2.0 TDI PD Elegance 5dr","Diesel","Manual","Hatchback","5","1968","Upper Medium Cars","2006","22278","9985"
"20100101","SC","SKODA OCTAVIA","HATCHBACK (2004 - 2010)","2.0 TDI PD Elegance 5dr","Diesel","Manual","Hatchback","5","1968","Upper Medium Cars","2004","32556","8295"
"20100101","SC","SKODA OCTAVIA","HATCHBACK (2004 - 2010)","2.0 TDI PD Elegance 5dr","Diesel","Manual","Hatchback","5","1968","Upper Medium Cars","2006","47000","9495"
"20100101","SC","SKODA OCTAVIA","HATCHBACK (2004 - 2010)","2.0 TDI PD Elegance 5dr","Diesel","Manual","Hatchback","5","1968","Upper Medium Cars","2006","69000","7995"
"20100101","SC","SKODA OCTAVIA","HATCHBACK (2004 - 2010)","2.0 TDI PD Elegance 5dr","Diesel","Manual","Hatchback","5","1968","Upper Medium Cars","2004","45601","7985"
"20100101","SC","SKODA OCTAVIA","HATCHBACK (2004 - 2010)","2.0 TDI PD Elegance 5dr","Diesel","Manual","Hatchback","5","1968","Upper Medium Cars","2006","75689","6983"
"20100101","SC","SKODA OCTAVIA","HATCHBACK (2004 - 2010)","2.0 TDI PD Elegance 5dr","Diesel","Manual","Hatchback","5","1968","Upper Medium Cars","2008","10462","11750"
"20100101","SC","SKODA OCTAVIA","HATCHBACK (2004 - 2010)","1.4 16v Classic 5dr","Petrol","Manual","Hatchback","5","1390","Upper Medium Cars","2006","25076","5988"
"20100101","SC","SKODA OCTAVIA","HATCHBACK (2004 - 2010)","1.4 16v Classic 5dr","Petrol","Manual","Hatchback","5","1390","Upper Medium Cars","2008","13196","6699"
"20100101","SC","SKODA OCTAVIA","HATCHBACK (2004 - 2010)","1.4 16v Classic 5dr","Petrol","Manual","Hatchback","5","1390","Upper Medium Cars","2008","14786","8000"
"20100101","SC","TOYOTA AVENSIS","ESTATE (2003 - 2006)","1.8 VVT-i T3-X 5dr","Petrol","Manual","Estate","5","1794","Upper Medium Cars","2004","65075","5495"
"20100101","SC","TOYOTA AVENSIS","ESTATE (2003 - 2006)","1.8 VVT-i T3-X 5dr","Petrol","Manual","Estate","5","1794","Upper Medium Cars","2004","73766","4995"
"20100101","SC","TOYOTA AVENSIS","ESTATE (2003 - 2006)","1.8 VVT-i T3-X 5dr","Petrol","Manual","Estate","5","1794","Upper Medium Cars","2004","62000","5995"
"20100101","SC","TOYOTA MR2","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","1986","118000","2197"
"20100101","SC","TOYOTA MR2","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","1997","0","3500"
"20100101","SC","TOYOTA MR2","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2000","0","4995"
"20100101","SC","TOYOTA RAV4","SUV (2003 - 2006)","2.0 D-4D XT-R 3dr","Diesel","Manual","SUV","3","1995","4X4 Lifestyle Cars","2006","21744","11995"
"20100101","SC","TOYOTA YARIS","HATCHBACK (2003 - 2005)","1.0 VVT-i Colour Collection 5dr","Petrol","Manual","Hatchback","5","998","Supermini Cars","2005","37950","4977"
"20100101","SC","TOYOTA YARIS","HATCHBACK (2005 - 2009)","1.0 VVT-i Ion 3dr","Petrol","Manual","Hatchback","3","998","Supermini Cars","2006","42026","5995"
"20100101","SC","TOYOTA YARIS","HATCHBACK (2005 - 2009)","1.0 VVT-i Ion 3dr","Petrol","Manual","Hatchback","3","998","Supermini Cars","2006","23288","6494"
"20100101","SC","VAUXHALL AGILA","HATCHBACK (2000 - 2008)","1.2 i 16v Design 5dr","Petrol","Manual","Hatchback","5","1199","Small/City Cars","2004","35639","3995"
"20100101","SC","VAUXHALL AGILA","HATCHBACK (2000 - 2008)","1.2 i 16v Design 5dr","Petrol","Manual","Hatchback","5","1199","Small/City Cars","2003","46648","3990"
"20100101","SC","VAUXHALL AGILA","HATCHBACK (2000 - 2008)","1.2 i 16v Design 5dr","Petrol","Manual","Hatchback","5","1199","Small/City Cars","2003","62000","2959"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (1998 - 2005)","1.6i 16V LS 5dr","Petrol","Manual","Hatchback","5","1598","Unknown","2002","78837","2695"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (1998 - 2005)","1.6i 16V LS 5dr","Petrol","Manual","Hatchback","5","1598","Unknown","2003","64000","2991"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (1998 - 2005)","1.6i 16V LS 5dr","Petrol","Manual","Hatchback","5","1598","Unknown","2003","58000","2995"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (1998 - 2005)","1.6i 16V LS 5dr","Petrol","Manual","Hatchback","5","1598","Unknown","-1","55000","2495"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (1998 - 2005)","1.6i 16V LS 5dr","Petrol","Manual","Hatchback","5","1598","Unknown","2002","0","1995"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (1998 - 2005)","1.6i 16V LS 5dr","Petrol","Manual","Hatchback","5","1598","Unknown","2004","71257","3690"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (1998 - 2005)","1.6i 16V LS 5dr","Petrol","Manual","Hatchback","5","1598","Unknown","2002","69000","1995"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2009","10","9272"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2009","1","8997"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2004","40000","4491"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2005","54523","5191"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2004","63000","4495"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2006","39000","5687"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2006","35000","5995"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2009","5579","8547"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2009","1752","9247"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2006","51844","5298"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2005","44000","5288"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2005","24960","5688"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2006","23023","6688"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2005","34200","4995"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2008)","1.6 i 16v Life 5dr","Petrol","Manual","Hatchback","5","1598","Lower Medium Cars","2005","50000","4695"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2010)","1.8i VVT SRi 5dr","Petrol","Manual","Hatchback","5","1796","Unknown","2008","27337","7984"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2010)","1.8i VVT SRi 5dr","Petrol","Manual","Hatchback","5","1796","Unknown","2008","27849","8499"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2010)","1.8i VVT SRi 5dr","Petrol","Manual","Hatchback","5","1796","Unknown","2009","5529","10499"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2010)","1.8i VVT SRi 5dr","Petrol","Manual","Hatchback","5","1796","Unknown","2008","10882","9734"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2010)","1.8i VVT SRi 5dr","Petrol","Manual","Hatchback","5","1796","Unknown","2009","7450","10499"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2010)","1.8i VVT SRi 5dr","Petrol","Manual","Hatchback","5","1796","Unknown","2008","17342","9000"
"20100101","SC","VAUXHALL ASTRA","HATCHBACK (2004 - 2010)","1.8i VVT SRi 5dr","Petrol","Manual","Hatchback","5","1796","Unknown","2009","5268","10499"
"20100101","SC","VAUXHALL ASTRA","SPORT HATCH (2005 - 2010)","1.6T 16V SRi 3dr","Petrol","Manual","Hatchback","3","1598","Unknown","2009","1793","12488"
"20100101","SC","VAUXHALL ASTRA","SPORT HATCH (2005 - 2010)","1.6T 16V SRi 3dr","Petrol","Manual","Hatchback","3","1598","Unknown","2007","15207","9499"
"20100101","SC","VAUXHALL ASTRA","CONVERTIBLE (2006 - 2011)","1.6 TwinAir Air Twin Top 2dr","Petrol","Manual","Convertible","2","1598","Lower Medium Cars","2008","3442","10892"
"20100101","SC","VAUXHALL ASTRA","CONVERTIBLE (2006 - 2011)","1.6 TwinAir Air Twin Top 2dr","Petrol","Manual","Convertible","2","1598","Lower Medium Cars","2007","16273","10434"
"20100101","SC","VAUXHALL ASTRA","CONVERTIBLE (2006 - 2011)","1.6 TwinAir Air Twin Top 2dr","Petrol","Manual","Convertible","2","1598","Lower Medium Cars","2009","10723","11688"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2007","28000","5988"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2006","23807","5988"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2007","19000","9995"
"20100101","SC","VAUXHALL ASTRA","Unknown","Unknown","Unknown","Unknown","Unknown","-1","-1","Unknown","2007","36000","7499"
